"Pair","Interaction","EINT","ELST","DISP","SAPT2ELST","SAPT2EXCH","SAPT2IND","SAPT2DISP","Shortest_Normalized_Distance"
"C_c2mpyr_A_dca-d11_28","Cation - Anion",-124.715053,-125.114,0.398947,-123.9854924,-9.46e-06,-0.82326169,-0.06438497,3.00778736815953
"C_c2mpyr_A_dca-d12_07","Cation - Anion",-116.449746,-116.823,0.373254,-115.9259982,-4.33e-06,-0.62892964,-0.04222609,3.23717981537792
"C_c2mpyr_A_dca-d12_86","Cation - Anion",-109.217602,-109.562,0.344398,-108.8351338,-1.33e-06,-0.48844672,-0.02848252,3.46506152169154
"C_c2mpyr_A_dca-d13_65","Cation - Anion",-102.833806,-103.149,0.315194,-102.5511998,-2.9e-07,-0.38493735,-0.01969001,3.69490773165257
"C_c2mpyr_A_dca-d14_44","Cation - Anion",-97.156514,-97.4439,0.287386,-96.945767,-5e-08,-0.30736067,-0.01390975,3.92637345942262
"C_c2mpyr_A_dca-d4_16","Cation - Anion",-347.7424,-306.129,-41.6134,-342.9947046,84.60848066,-43.91405918,-41.47741451,0.778001087341822
"C_c2mpyr_A_dca-d4_95","Cation - Anion",-299.9026,-286.184,-13.7186,-273.5967672,9.57607219,-20.44144583,-13.71930089,1.06321790372666
"C_c2mpyr_A_dca-d5_74","Cation - Anion",-253.38984,-248.682,-4.70784,-237.1477791,1.06099601,-11.48305683,-5.09008675,1.34148892056247
"C_c2mpyr_A_dca-d6_53","Cation - Anion",-219.47819,-218,-1.47819,-210.2282043,0.11787789,-6.97588218,-2.13336793,1.58856454067305
"C_c2mpyr_A_dca-d7_32","Cation - Anion",-194.193034,-193.946,-0.247034,-188.7250631,0.01312303,-4.47676723,-1.0009572,1.84376997966814
"C_c2mpyr_A_dca-d8_11","Cation - Anion",-174.498006,-174.7,0.201994,-171.0849293,0.00142773,-3.00398701,-0.51445777,2.08816486288074
"C_c2mpyr_A_dca-d8_91","Cation - Anion",-158.581671,-158.945,0.363329,-156.359678,0.00014076,-2.08912858,-0.28405345,2.31397064894522
"C_c2mpyr_A_dca-d9_7","Cation - Anion",-145.390326,-145.803,0.412674,-143.8943136,3.92e-06,-1.49586462,-0.16590609,2.54300244801134
"C_c2mpyr_A_dca_P2-d10_39","Cation - Anion",-133.898538,-134.257,0.358462,-132.9453736,-1.498e-05,-1.01304159,-0.0922258,2.81349768046102
"C_c2mpyr_A_dca_P2-d11_2","Cation - Anion",-124.207499,-124.551,0.343501,-123.5381679,-8.92e-06,-0.75541001,-0.0581433,3.05503560584012
"C_c2mpyr_A_dca_P2-d12_02","Cation - Anion",-115.821862,-116.143,0.321138,-115.3439376,-3.34e-06,-0.57426387,-0.03790706,3.29806903787382
"C_c2mpyr_A_dca_P2-d12_84","Cation - Anion",-108.495138,-108.791,0.295862,-108.1481489,-8.8e-07,-0.44404121,-0.02543926,3.54024595142204
"C_c2mpyr_A_dca_P2-d13_66","Cation - Anion",-102.036831,-102.307,0.270169,-101.7825001,-1.7e-07,-0.34856838,-0.01750785,3.77792436354799
"C_c2mpyr_A_dca_P2-d14_47","Cation - Anion",-96.302425,-96.5482,0.245775,-96.11356009,-2e-08,-0.27733189,-0.01231911,4.01593174573264
"C_c2mpyr_A_dca_P2-d3_85","Cation - Anion",-351.8464,-306.41,-45.4364,-342.3383414,78.77931891,-39.42149881,-43.15100432,0.849991032957971
"C_c2mpyr_A_dca_P2-d4_66","Cation - Anion",-302.5746,-287.929,-14.6456,-276.5419804,9.36870314,-19.35821018,-14.19874444,1.09316977342466
"C_c2mpyr_A_dca_P2-d5_48","Cation - Anion",-255.43084,-250.504,-4.92684,-239.5922378,1.01051076,-11.00423596,-5.11925915,1.3580493676376
"C_c2mpyr_A_dca_P2-d6_3","Cation - Anion",-220.82868,-219.307,-1.52168,-211.9442761,0.10734036,-6.6763564,-2.08419741,1.62859084737354
"C_c2mpyr_A_dca_P2-d7_12","Cation - Anion",-195.014453,-194.734,-0.280453,-189.822566,0.01132132,-4.25756794,-0.95640756,1.87384909245079
"C_c2mpyr_A_dca_P2-d7_93","Cation - Anion",-174.910832,-175.064,0.153168,-171.6969699,0.00117957,-2.83314429,-0.483361,2.1030002165281
"C_c2mpyr_A_dca_P2-d8_75","Cation - Anion",-158.671292,-158.98,0.308708,-156.5970423,0.00011885,-1.9541154,-0.26335902,2.33676119378805
"C_c2mpyr_A_dca_P2-d9_57","Cation - Anion",-145.230346,-145.586,0.355654,-143.8431196,-2.9e-06,-1.38898377,-0.15218575,2.57387631779003
"C_c2mpyr_A_dca_P3-d10_28","Cation - Anion",-137.519641,-137.945,0.425359,-136.4445683,-1.544e-05,-1.11015986,-0.10168609,2.76635082545342
"C_c2mpyr_A_dca_P3-d11_07","Cation - Anion",-127.618967,-128.024,0.405033,-126.8573946,-1.144e-05,-0.82990793,-0.06443774,3.00001049118065
"C_c2mpyr_A_dca_P3-d11_86","Cation - Anion",-119.049,-119.426,0.377,-118.4982526,-5.08e-06,-0.63241715,-0.04221071,3.23508650287611
"C_c2mpyr_A_dca_P3-d12_65","Cation - Anion",-111.55515,-111.902,0.34685,-111.1512843,-1.59e-06,-0.49011079,-0.02845155,3.46958247538734
"C_c2mpyr_A_dca_P3-d13_44","Cation - Anion",-104.947963,-105.265,0.317037,-104.6469876,-3.7e-07,-0.38553658,-0.01966017,3.69953206255887
"C_c2mpyr_A_dca_P3-d14_23","Cation - Anion",-99.077089,-99.366,0.288911,-98.85070629,-6e-08,-0.30733667,-0.01388527,3.92978565821093
"C_c2mpyr_A_dca_P3-d3_95","Cation - Anion",-355.3114,-309.03,-46.2814,-346.489573,80.52680359,-40.29575439,-43.77228184,0.840211366792235
"C_c2mpyr_A_dca_P3-d4_74","Cation - Anion",-307.6037,-292.345,-15.2587,-280.6474604,9.88506402,-20.1873564,-14.60086672,1.10577804365471
"C_c2mpyr_A_dca_P3-d5_53","Cation - Anion",-260.92324,-255.767,-5.15624,-244.1170987,1.17858569,-11.73189753,-5.37765293,1.33131666869131
"C_c2mpyr_A_dca_P3-d6_32","Cation - Anion",-226.0945,-224.503,-1.5915,-216.4886232,0.1395209,-7.19438585,-2.22323081,1.57713975157088
"C_c2mpyr_A_dca_P3-d7_12","Cation - Anion",-199.872778,-199.603,-0.269778,-194.1876306,0.01632113,-4.61024607,-1.02893835,1.83511368167149
"C_c2mpyr_A_dca_P3-d7_91","Cation - Anion",-179.376634,-179.586,0.209366,-175.8345959,0.00187126,-3.0793709,-0.5236347,2.07863728359657
"C_c2mpyr_A_dca_P3-d8_7","Cation - Anion",-162.810368,-163.187,0.376632,-160.5065511,0.00021287,-2.13036764,-0.28709416,2.30500149857693
"C_c2mpyr_A_dca_P3-d9_49","Cation - Anion",-149.090516,-149.516,0.425484,-147.5388658,8.58e-06,-1.51827929,-0.16687577,2.53449927111841
"C_c3mim_A_dca-d10_88","Cation - Anion",-127.499902,-128.101,0.601098,-126.7017733,1.36e-06,-0.81429521,-0.06677218,2.79339891568346
"C_c3mim_A_dca-d11_77","Cation - Anion",-118.108339,-118.653,0.544661,-117.5434261,-8e-07,-0.60490865,-0.04168258,3.04005569946183
"C_c3mim_A_dca-d12_65","Cation - Anion",-109.978326,-110.468,0.489674,-109.5711925,-4.1e-07,-0.45800931,-0.02692088,3.28753183101966
"C_c3mim_A_dca-d13_54","Cation - Anion",-102.878007,-103.317,0.438993,-102.5785945,-1.1e-07,-0.35273759,-0.01790881,3.53704634014414
"C_c3mim_A_dca-d14_43","Cation - Anion",-96.624893,-97.0186,0.393707,-96.40175792,-2e-08,-0.27582974,-0.01222602,3.78819646891936
"C_c3mim_A_dca-d2_87","Cation - Anion",-369.645,-305.253,-64.392,-371.0825498,109.2204546,-39.84698286,-63.34072732,0.823890761244385
"C_c3mim_A_dca-d3_76","Cation - Anion",-326.3888,-303.705,-22.6838,-295.0084547,14.11812201,-20.47265318,-22.24789571,1.0928474285605
"C_c3mim_A_dca-d4_65","Cation - Anion",-277.12244,-269.249,-7.87344,-256.7138445,2.27365796,-12.79594325,-8.45043597,1.22305021864097
"C_c3mim_A_dca-d5_54","Cation - Anion",-238.83304,-236.469,-2.36404,-226.9761132,0.3826263,-8.11694902,-3.42850738,1.39429512713869
"C_c3mim_A_dca-d6_43","Cation - Anion",-209.169382,-208.866,-0.303382,-202.2447999,0.05986425,-5.19355039,-1.49503762,1.61292818649181
"C_c3mim_A_dca-d7_32","Cation - Anion",-185.773692,-186.192,0.418308,-181.583063,0.00869522,-3.39395164,-0.70502923,1.8374077518734
"C_c3mim_A_dca-d8_21","Cation - Anion",-166.910486,-167.553,0.642514,-164.2767185,0.00116774,-2.28061226,-0.35818756,2.06350909498695
"C_c3mim_A_dca-d9_1","Cation - Anion",-151.408883,-152.091,0.682117,-149.6930608,0.00014625,-1.57701362,-0.1942187,2.29997949380201
"C_c3mim_A_dca-d9_99","Cation - Anion",-138.462517,-139.115,0.652483,-137.3077437,1.942e-05,-1.11978265,-0.11127048,2.54392903206104
"C_c3mim_A_dca_P2-d10_8","Cation - Anion",-129.128953,-129.671,0.542047,-128.360326,1.59e-06,-0.84356714,-0.07145739,2.82996532393194
"C_c3mim_A_dca_P2-d11_68","Cation - Anion",-119.63793,-120.135,0.49707,-119.1043228,-1.3e-06,-0.62864512,-0.04474323,3.0734651404043
"C_c3mim_A_dca_P2-d12_57","Cation - Anion",-111.405701,-111.857,0.451299,-111.0302377,-7.3e-07,-0.47702674,-0.02895953,3.31951488204301
"C_c3mim_A_dca_P2-d13_45","Cation - Anion",-104.205033,-104.613,0.407967,-103.9382358,-2e-07,-0.36794084,-0.01929398,3.56758699281667
"C_c3mim_A_dca_P2-d14_34","Cation - Anion",-97.858154,-98.2265,0.368346,-97.66762869,-4e-08,-0.28801036,-0.01318555,3.81728721848389
"C_c3mim_A_dca_P2-d2_83","Cation - Anion",-368.1896,-302.515,-65.6746,-370.9295804,110.772894,-38.37548365,-64.98792897,0.83776093535318
"C_c3mim_A_dca_P2-d3_72","Cation - Anion",-325.4992,-301.775,-23.7242,-293.9890603,14.35640274,-20.08020564,-23.00256607,1.09036917534283
"C_c3mim_A_dca_P2-d4_6","Cation - Anion",-276.42646,-267.907,-8.51946,-255.9344189,1.85671969,-12.32294447,-8.60612784,1.26713852799157
"C_c3mim_A_dca_P2-d5_49","Cation - Anion",-238.96043,-236.189,-2.77143,-227.2292867,0.26021018,-7.85353432,-3.47536023,1.46897310814311
"C_c3mim_A_dca_P2-d6_37","Cation - Anion",-210.17263,-209.582,-0.59063,-203.3140729,0.04045804,-5.10822468,-1.52988113,1.68689975537481
"C_c3mim_A_dca_P2-d7_26","Cation - Anion",-187.277678,-187.5,0.222322,-183.1178752,0.00626724,-3.39603677,-0.73128297,1.90100899896321
"C_c3mim_A_dca_P2-d8_14","Cation - Anion",-168.626348,-169.13,0.503652,-166.0136268,0.00090882,-2.31363689,-0.37595445,2.12350937965675
"C_c3mim_A_dca_P2-d9_03","Cation - Anion",-153.164773,-153.746,0.581227,-151.4730593,0.00012931,-1.61557411,-0.20567378,2.35377479548049
"C_c3mim_A_dca_P2-d9_91","Cation - Anion",-140.174647,-140.752,0.577353,-139.0470754,2.113e-05,-1.15476147,-0.11856502,2.58973480125736
"C_c3mim_A_dca_P3-d10_08","Cation - Anion",-134.134522,-135.035,0.900478,-133.0435328,3.22e-06,-1.01261074,-0.0974417,2.77129669538967
"C_c3mim_A_dca_P3-d10_92","Cation - Anion",-124.295953,-125.105,0.809047,-123.512811,-2.34e-06,-0.7532131,-0.06096834,3.01349603234545
"C_c3mim_A_dca_P3-d11_76","Cation - Anion",-115.786112,-116.509,0.722888,-115.2114489,-1.6e-06,-0.5711768,-0.03945712,3.25642639443884
"C_c3mim_A_dca_P3-d12_6","Cation - Anion",-108.353239,-108.998,0.644761,-107.9236318,-5.3e-07,-0.44056843,-0.02629167,3.49993556429255
"C_c3mim_A_dca_P3-d13_44","Cation - Anion",-101.80659,-102.382,0.57541,-101.4795692,-1.1e-07,-0.34499838,-0.01797138,3.74391060461416
"C_c3mim_A_dca_P3-d14_28","Cation - Anion",-95.997135,-96.512,0.514865,-95.74431508,-2e-08,-0.27383078,-0.01256327,3.98826601835594
"C_c3mim_A_dca_P3-d3_36","Cation - Anion",-362.0292,-306.554,-55.4752,-361.1747418,109.5642182,-50.94355612,-53.97865101,0.802849858237146
"C_c3mim_A_dca_P3-d4_2","Cation - Anion",-309.7525,-293.667,-16.0855,-279.2044548,9.25066864,-20.91661591,-16.27625018,1.07198584248929
"C_c3mim_A_dca_P3-d5_04","Cation - Anion",-258.28132,-253.935,-4.34632,-240.770424,0.79049557,-11.31738178,-5.65255065,1.31408100567865
"C_c3mim_A_dca_P3-d5_88","Cation - Anion",-222.460808,-221.903,-0.557808,-212.8157808,0.07639516,-6.76124516,-2.27397043,1.57234596747795
"C_c3mim_A_dca_P3-d6_72","Cation - Anion",-196.175103,-196.845,0.669897,-190.5325552,0.00844218,-4.28998158,-1.03775306,1.81565667177063
"C_c3mim_A_dca_P3-d7_56","Cation - Anion",-175.76643,-176.771,1.00457,-172.2507801,0.00103695,-2.84951343,-0.52175754,2.05167148017477
"C_c3mim_A_dca_P3-d8_4","Cation - Anion",-159.28651,-160.332,1.04549,-156.9890366,0.00013676,-1.96205734,-0.28245925,2.29001836918749
"C_c3mim_A_dca_P3-d9_24","Cation - Anion",-145.640151,-146.628,0.987849,-144.0812612,2.677e-05,-1.39171454,-0.16202784,2.53003833241059
"C_c3mim_A_dca_P4-d10_59","Cation - Anion",-128.135914,-128.904,0.768086,-127.4202694,-2.64e-06,-0.77698717,-0.06810522,2.99024720270484
"C_c3mim_A_dca_P4-d11_46","Cation - Anion",-118.855406,-119.538,0.682594,-118.3548613,-1.53e-06,-0.58035466,-0.04308822,3.24867130484888
